Date	Stars	Title	Post
03-May-2019	2	Surely you should be listened too and made to feel welcome?	Both my wife and I are patients presently registered with this practice. We are like most of us eternally grateful for the overall care we receive from our beloved NHS. However without identifying individuals this Drs practice is not always an easy place to visit, contact, or feel at ease with. It is extremely difficult to say the least to make an appointment to see a Dr. It has become easier to see a nurse practitioner which to me is about the same as seeing a Community Support Officer from the local Constabulary when you really need to speak to a Police Officer. No  disrespect intended to any of those professions as they all are needed but are often not the relevant or needed point of contact/consultation. This Surgery very regularly tell you to either go to A and E or ring 111 or 999 should you have the audacity to press for an urgent appointment or God forbid a home visit. Whilst I am aware we all have these options it seems to be used by some staff at Riverside as their get out of jail free  card on a very regular basis. I often feel obstructed rather than helped and an inconvenience rather than a patient by this Surgery. My wife also feels likewise. We are both aware of the pressures faced by all Drs , staff and GPS surgeries but politeness, professionalism and above all caring and listening should be second nature, sadly at Riverside Practice these attributes seem to have become a thing of the past. Don’t get me wrong there are some very helpful staff there , I stress SOME. Surely visiting the Drs should hopefully make you feel better ...........often at Riverside the attitude of some employees, and Dr make you feel far worse. Maybe the appointment of a new female Dr may improve things. Only time will tell.
27-February-2019	1	Appalling customer service	I'd love to be emailing the bellow to the practise manager, but it seems if you want to complain you have two options1) Put your complaint in writing, ala 1985. (Seriously when was the last time you wrote a letter? I think for me it was to thank my great auntie for my new He Man toy)2) Call to complain (which is ironic is my complaint is about being unable to phone the person I've been repeatedly told I should)Any chance of option 3? complaints@riversidepractise? The 21st century is calling!In all seriousness though, I know they respond to these reviews so I'd appreciate an email I could forward the details of my complaint to.Thanks,Frustrated patient
20-January-2019	1	unable to get appointment	Have attended on several occasions and have never yet managed to get a doctor's appointment. The choice offered is a nurse or go to A&amp;E. Nurses can prescribe but cannot diagnose so unless you know what is wrong it's a trip to A&amp;E. There appears to be no communication with previous doctor's either, having moved from a different county where my treatment for cancer was top notch, here I have never even been reviewed, despite raiding this issue with receptionists and nurse.Prescriptions are also a problem,: my mother was placed on medication for osteoporosis by the hospital yet the practice refuse to place it on her repeat prescription form despite repeated requests and intervention by the local pharmacist.
26-July-2018	3	Impossible to get through	Don't try and ring them - there's usually one poor receptionist on trying to deal with a stream of patients and answer a constantly ringing phone. Good luck getting to speak to someone!
12-June-2018	2	Not able to get appoitment due to extremly rude receptionist	We are new to the town and wanted to register and at the same time get an appointment at the doctors due to health problems, however, from the first point of speaking to the receptionist over the phone we are really dissatisfied with this surgery as first point of contact is the reception who suppose to be helpful and not so rude and refusing like this one was.In all previous surgeries in different towns they were so lovely, friendly and welcoming and were there to help - they allowed us to bring all the paperwork in and typed it in computer while we were waiting and right away booked us appointment the same time as we were there but this receptionist made it impossible and yet was really rude and refused to book any appointment at all, trying to act like a doctor and telling us that we cannot see doc because my husband's illness is not that serious while he is really struggling over many weeks.
06-July-2018	2	Reception staff rarely nice or helpful	Have been at the surgery for years and always have a negative experience with reception, can be rude and abrupt. Rarely treated with kindness that you’d expect , clinicians are usually great but reception staff make me not want to call or speak with them when in surgery
26-July-2018	5	they always sort me out and i cannot praise them enough !	I have enjoyed an excellent relationship with staff and doctors..They have seen me through cancer and other treatment and never let me down this was from 1970 onwards
02-January-2018	5	A good team	My wife and I have been with Riverside for some time. We have always been treated very well. When I was quite ill last year they could not be faulted. I was quickly referred to hospital where I received good care too. We have just been into the practice this morning and was advised by the receptionist that one of their advanced nurses had been taken ill that morning and at such short notice they were not able to see my wife today. Because this was not urgent we were happy to come back later in the week. But some patients in the queue were pretty rude to the reception staff, as if it was their fault. I was slightly embarrassed for the receptionist. I'm not sure how you can quickly find a replacement when a doctor or nurse goes sick, but guess it can't be done the same day.     I just wanted to say that you are appreciated.
19-January-2018	5	Riverside practice feedback	I am truly happy with the service provided at my Drs surgery.  The reception staff are always friendly and very helpful and can, depending on your needs, give you an appointment with the nurse practitioners or the Dr depending on the severity of your condition. The telephone manner is always good, professional and helpful, Our Drs are very thorough and have time for you and explain in a manner you can understand what is wrong with you they do not rush you through your appointment if the reason you went is not that  simple, they are reassuring and will refer you to a specialist if  it is necessary.The nursing team are very friendly and put you at ease when you have to go for any treatments and are very knowledgeable in their fields. You can usually get an appointment on the same day as ringing the surgery and they offer an online appointment booking service, releasing a number of slots throughout the day. The surgery also has a varied amount of additional services and clinics for long term help ie. COPD, Diabetes, Coronary Heart Disease to name a few. A Patient Association is up and running there with news letters about the surgery. The practice is very wheelchair friendly with wide corridors and doors and disabled toilet facilities, in fact you can easily use a mobility scooter in there as I have seen this many times. They also offer a health trainer service. I am very happy to be at this surgery and would not want to have to change to either of the other two in the town.
24-January-2018	5	Excellent Customer Service - Medical Secretary	I phoned the medical secretary at Riverside Practice on two separate occasions to confirm information on my medical records and the lady that picked up my call was extremely helpful. As a matter of fact, I feel how she served me defines what an exemplary customer service. Really helpful, courteous and considerate. Considering I called the office on two separate occasions, not knowing you may pick up the phone, it turns out to be the same person and wow, she was good. It would be great if every establishment have someone like the medical secretary that attended to me. Thank you for a great service and a WOW experience!
